activity_name,category
Full-service restaurants,Food and Beverage Services
Hardware merchant wholesalers,Wholesale Trade
Dimethylacetamide (market for dimethylacetamide),Chemical Products
Sewage sludge 70% water WWT-SLF[W] waste plastic consumer electronics (market for sewage sludge 70% water WWT-SLF[W] waste plastic consumer electronics),Waste Management
Strawberries,Arable Farming
Generator - mini chp plant (market for generator - mini CHP plant),Machinery
1:3:6 cement:sand:aggregate with UK average cement replacement rate,Building Materials
Air distribution terminal panel - steel - 120 m3/h (market for air distribution terminal panel - steel - 120 m3/h),Fabricated Metal Products
Wood preservation - spray tunnel/deluging - organic solvent-based - indoor use - occasionally wet (market for wood preservation - spray tunnel/deluging - organic solvent-based - indoor use - occasionally wet),Timber and Forestry Products
Planting tree (market for planting tree),Arable Farming
Gasoline stations,General Retail
Ready-mix concrete C30/37,Building Materials
Carrot seed - swiss integrated production - at farm (market for carrot seed - Swiss integrated production - at farm),Arable Farming
Residual softwood - wet (market for residual softwood - wet),Timber and Forestry Products
Uranium - enriched 3.8% - per separative work unit (market for uranium - enriched 3.8% - per separative work unit),Chemical Products
Wood preservation - spray tunnel/deluging - water-based - outdoor use - no ground contact (market for wood preservation - spray tunnel/deluging - water-based - outdoor use - no ground contact),Timber and Forestry Products
Air filter - central unit - 600 m3/h (market for air filter - central unit - 600 m3/h),Machinery
Methane sulfonic acid (market for methane sulfonic acid),Chemical Products
Local messengers and local delivery,Information and Communication Services
Sawnwood - softwood - dried (u=20%) - planed (market for sawnwood - softwood - dried (u=20%) - planed),Timber and Forestry Products
Residues MSWI aluminium in car shredder residue (market for residues MSWI aluminium in car shredder residue),Waste Management
Oilseed and grain combination farming,Arable Farming
Bio-LNG Otto dual fuel - medium speed ship,Fuel
Audio recording services and copyright administration,Information and Communication Services
Parts of railway rolling stock,Vehicle Parts
Beet sugar,Arable Farming
Preserved / prepared and processed meat,Food/Beverages/Tobacco
Baby and invalid food,Food/Beverages/Tobacco
Fresh cauliflower,Arable Farming
Liquid manure tank trailer (market for liquid manure tank trailer),Machinery
Flour and other grain mill products,Food/Beverages/Tobacco
Nuclear power plant - boiling water reactor 1000mw (market for nuclear power plant - boiling water reactor 1000MW),Construction
Dairy product (except dried or canned) merchant wholesalers,Wholesale Trade
Aluminium General - Worldwide,Metals
Advertising and market research services,Professional Services and Activities
Photographic and scientific equipment,Electronics
Motor vehicle seating and interior trim manufacturing,Vehicle Parts
Plastics in primary forms,Plastics and Rubber Products
Scandium oxide (market for scandium oxide),Metals
Pump - 40w (market for pump - 40W),Electrical Equipment
Wine and brandy,Food/Beverages/Tobacco
AAC concrete block - average strength - 140 mm thickness - 440 mm length - 215 mm width,Building Materials
Computer - laptop (market for computer - laptop),Electronics
Induction hob,Furnishings and Household
Concrete roof tile (market for concrete roof tile),Building Materials
Other sawmill products and treated wood products,Timber and Forestry Products
Tilapia feed - 24-28% protein (market for tilapia feed - 24-28% protein),Fishing/Aquaculture/Hunting
Wood waste for treatment: incineration,Waste Management
Meat products (beef),Food/Beverages/Tobacco
Concrete GEN 3 with CEM I cement,Building Materials
Greenhouse crops/mushrooms/nurseries and flowers,Food/Beverages/Tobacco
Rye grain (market for rye grain),Arable Farming
Cement CP V RS (market for cement CP V RS),Building Materials
Television (market for television),Electronics
Soybean (market group for soybean),Arable Farming
Methyl acrylate (market for methyl acrylate),Chemical Products
Turpentine (market for turpentine),Chemical Products
Other personal services,Domestic Services
Lithium hydroxide (market for lithium hydroxide),Chemical Products
Laminated plastics plate/sheet (except packaging) and shape manufacturing,Plastics and Rubber Products
Sewage sludge 70% water WWT WW from potato starch production (market for sewage sludge 70% water WWT WW from potato starch production),Waste Management
Cranberries/blueberries,Arable Farming
Copper carbonate (market for copper carbonate),Chemical Products
Sewage sludge 70% water WWT WW from tube collector production (market for sewage sludge 70% water WWT WW from tube collector production),Waste Management
Repair services of computers and personal and household goods,Equipment Repair
Canola (including rapeseed),Arable Farming
Food waste for treatment: waste water treatment,Waste Management
Sodium hydrogen sulfate (market for sodium hydrogen sulfate),Chemical Products
Bottom ash MSWI[F] digester sludge (market for bottom ash MSWI[F] digester sludge),Waste Management
Office administrative/office support and other business support services,Professional Services and Activities
Other scientific and technical consulting services,Professional Services and Activities
Water supply and irrigation systems,Water Treatment
Three and five layered board (market for three and five layered board),Timber and Forestry Products
Electric heat pump (air-water) 7kW,Electrical Equipment
Landed anchovy by-catch - fresh (market for landed anchovy by-catch - fresh),Fishing/Aquaculture/Hunting
Sewage and dirty water disposal and cleaning services,Water Treatment
Customs duties,Wholesale Trade
Ceramic goods,Ceramic Goods
Packaging glass - brown (market for packaging glass - brown),Glass and Glass Products
Liquefied gas tank 2700l/1.2t (above ground),Storage
Tungsten concentrate (market for tungsten concentrate),Mined Materials
Vegetables (fresh),Food/Beverages/Tobacco
Recreational and sporting services,Recreation and Culture
Concrete - 50% ggbs cement replacement - with total cementitious content of 220 kg per m3 of concrete,Building Materials
Cement/lime and plaster,Building Materials
Residues MSWI copper in car shredder residue (market for residues MSWI copper in car shredder residue),Waste Management
Magnesium chloride from zirconium sponge production (market for magnesium chloride from zirconium sponge production),Chemical Products
Irrigation (market for irrigation),Arable Farming
Other nonhazardous waste treatment and disposal,Waste Management
Packaging glass sorting facility (market for packaging glass sorting facility),Construction
Knit fabric mills,Furnishings and Household
Residues MSWI[F] residue from mechanical treatment IT accessory (market for residues MSWI[F] residue from mechanical treatment IT accessory),Waste Management
Industrial furnace - 1mw - oil (market for industrial furnace - 1MW - oil),Machinery
Sewage sludge 97% water WWT rainwater mineral oil storage (market for sewage sludge 97% water WWT rainwater mineral oil storage),Waste Management
Home laundry machines,Electrical Equipment
Iron non-alloy steel - angles shapes sections,Metals
Concrete GEN0 with 40% PFA cement,Building Materials
Major tools and equipment for the house and garden,DIY and Gardening Equipment
Coking coal,Fuel
Clay and ceramic and refractory minerals mining,Mined Materials
Backlight - for liquid crystal display (market for backlight - for liquid crystal display),Electronics
Timber - Particle Board - Including Carbon Storage,Timber and Forestry Products
Artificial and synthetic fibres and filaments,Textiles
Rape seed - organic (market for rape seed - organic),Arable Farming
Nickel concentrate - 16% ni (market for nickel concentrate - 16% Ni),Metals
Alumina refining and primary aluminum production,Metals
Jewellery and silverware,Personal Care and Accessories
Coal - anthracite,Fuel
Gambling establishments (except casino hotels),Recreation and Culture
Rosin size - for paper production (market for rosin size - for paper production),Chemical Products
Sewage sludge for treatment: biogasification and land application,Waste Management
Natural gas - high pressure - vehicle grade (market for natural gas - high pressure - vehicle grade),Fuel
Ferrosilicon (market for ferrosilicon),Metals
Pineapple (market for pineapple),Arable Farming
Coke and other coke oven products,Fuel
Fish canning - large fish (market for fish canning - large fish),Fishing/Aquaculture/Hunting
Residues MSWI-WWT-SLF waste bitumen (market for residues MSWI-WWT-SLF waste bitumen),Waste Management
Flours and malts,Food/Beverages/Tobacco
Chemicals (not elsewhere specified),Chemical Products
All other outpatient care centers,Health Care
Physicians,Health Care
Potato seed - swiss integrated production - for setting (market for potato seed - Swiss integrated production - for setting),Arable Farming
Toy and hobby goods and supplies merchant wholesalers,Wholesale Trade
All other grain farming,Arable Farming
Bananas LDPE bag,Food/Beverages/Tobacco
Sewage sludge 97% water WWT WW from grass refinery (market for sewage sludge 97% water WWT WW from grass refinery),Waste Management
Owner-occupiers' housing services,Housing
Flour mixes / dough and dry pasta,Food/Beverages/Tobacco
Processed rice,Food/Beverages/Tobacco
Service establishment equipment and supplies merchant wholesalers,Wholesale Trade
Cement plaster (market for cement plaster),Building Materials
Fish / crustaceans / shellfish and other fishery products,Fishing/Aquaculture/Hunting
Nonresidential property managers,Real Estate
Concrete - 25-30mpa (market for concrete - 25-30MPa),Building Materials
Dioctyl adipate (market for dioctyl adipate),Chemical Products
Admissions to motion picture film exhibitions,Recreation and Culture
Lubricants and other petroleum refinery products,Fuel
Metal working - average for copper product manufacturing (market for metal working - average for copper product manufacturing),Metals
Electronic capacitors/resistors/coils/transformers/connectors and other components (except semiconductors and printed circuit assemblies),Electronics
Museums/historical sites/zoos and parks,Recreation and Culture
Tomatoes (passive greenhouse),Arable Farming
Nail salons,Personal Care and Accessories
Nuclear fuel element - for pressure water reactor - uo2 3.9% & mox (market for nuclear fuel element - for pressure water reactor - UO2 3.9% & MOX),Chemical Products
PP (polypropylene),Plastics and Rubber Products
Maintenance - solid oxide fuel cell - 125kw electrical - future (market for maintenance - solid oxide fuel cell - 125kW electrical - future),Equipment Repair
Tin (market for tin),Metals
Other engine equipment manufacturing,Machinery
Pump station (market for pump station),Construction
Photovoltaic slanted-roof installation - 3kwp - ribbon-si - laminated - integrated - on roof (market for photovoltaic slanted-roof installation - 3kWp - ribbon-Si - laminated - integrated - on roof),Construction
Cereals,Arable Farming
Anaerobic digestion plant - agricultural (market for anaerobic digestion plant - agricultural),Construction
Impact extrusion of steel - warm - initial warming (market for impact extrusion of steel - warm - initial warming),Metals
Stationery products,Paper Products
Offices of real estate agents and brokers,Real Estate
Unwrought aluminum including alloys,Metals
Sodium chlorate - powder (market for sodium chlorate - powder),Chemical Products
Concrete - 30% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,Building Materials
Styrene (market for styrene),Chemical Products
Language schools,Education
Anode slime from electrorefining of copper - anode (market for anode slime from electrorefining of copper - anode),Metals
Metallic kettle,Furnishings and Household
Magnetite (market for magnetite),Mined Materials
Sewage sludge 97% water WWT WW from potato starch production (market for sewage sludge 97% water WWT WW from potato starch production),Waste Management
Concrete GEN0 with 70% GGBS cement,Building Materials
Ventilation components factory (market for ventilation components factory),Construction
Bitumen cold adhesive,Plastics and Rubber Products
Biomethane - compressed,Fuel
Aluminium - alloys - profiles,Metals
Filter cake - from sugarcane juice filtration (market for filter cake - from sugarcane juice filtration),Arable Farming
Bamboo culm (market for bamboo culm),Timber and Forestry Products
Aminopyridine (market for aminopyridine),Chemical Products
Concrete RC28/35 with 50% GGBS cement,Building Materials
Drying of lentils (market for drying of lentils),Arable Farming
Average plastic film (open-loop recycled source),Plastics and Rubber Products
Software publishers,Recreation and Culture
Toluene diisocyanate (market for toluene diisocyanate),Chemical Products
Babysitting services,Domestic Services
Steam generation system - solar tower power plant - 20 mw (market for steam generation system - solar tower power plant - 20 MW),Construction
Concrete GEN 2 with 70% GGBS cement,Building Materials
Alloy steel - flat-rolled >600mm hot-rolled,Metals
Vinyl fluoride (market for vinyl fluoride),Chemical Products
Rape meal (market for rape meal),Arable Farming
Ferrochromium - high-carbon - 55% cr (market for ferrochromium - high-carbon - 55% Cr),Metals
Cattle ranches and feedlots,Livestock Farming
Maintenance - goods wagon (market for maintenance - goods wagon),Vehicles
Flat glass factory (market for flat glass factory),Construction
Fibre cement roof slate (market for fibre cement roof slate),Building Materials
Polyvinylchloride - suspension polymerised (market for polyvinylchloride - suspension polymerised),Chemical Products
Manual dismantling of used passenger car with internal combustion engine (market for manual dismantling of used passenger car with internal combustion engine),Waste Management
Biodiesel ME from tallow,Fuel
Semi-manufactures of plastics,Plastics and Rubber Products
Photovoltaic flat-roof installation - 3kwp - multi-si - on roof (market for photovoltaic flat-roof installation - 3kWp - multi-Si - on roof),Construction
Aluminium - not alloyed - bars / rods,Metals
Other professional / scientific and technical services,Professional Services and Activities
Electric parts - heat and power co-generation unit - 160kw electrical (market for electric parts - heat and power co-generation unit - 160kW electrical),Electrical Equipment
Bottom ash MSWI-WWT-SLF waste plastic mixture (market for bottom ash MSWI-WWT-SLF waste plastic mixture),Waste Management
Chimney polypropylene,Plastics and Rubber Products
Liquefied gas tank 6400l/2.9t (above ground),Storage
Concrete RC35/45 with 15% PFA cement,Building Materials
Highways / roads / streets / bridges and tunnels,Construction
Barium carbonate (market for barium carbonate),Chemical Products
Farm labor contractors and crew leaders,Agriculture/Hunting/Forestry/Fishing
Telecommunications services,Information and Communication Services
Mercerizing - textile (market for mercerizing - textile),Textiles
Finfish fishing,Fishing/Aquaculture/Hunting
Ventilation system - central - 1 x 720 m3/h - polyethylene ducts - with earth tube heat exchanger (market for ventilation system - central - 1 x 720 m3/h - polyethylene ducts - with earth tube heat exchanger),Construction
Ethylene vinyl acetate copolymer (market for ethylene vinyl acetate copolymer),Chemical Products
Fibre - silk - short (market for fibre - silk - short),Textiles
Acetaldehyde (market for acetaldehyde),Chemical Products
Acetic acid - without water - in 98% solution state (market for acetic acid - without water - in 98% solution state),Chemical Products
Deep drawing - steel - 10000 kn press - automode (market for deep drawing - steel - 10000 kN press - automode),Metals
Wastewater treatment facility - capacity 1.6e8l/year (market for wastewater treatment facility - capacity 1.6E8l/year),Construction
Locksmiths,Professional Services and Activities
Motor vehicle transmission and drive train components,Vehicle Parts
Vehicle engines and engine parts,Vehicle Parts
Oats LDPE bag,Food/Beverages/Tobacco
Oil condensing boiler <20kW (wall unit),Electrical Equipment
Lowland sheep,Livestock Farming
Drawing of pipe - steel (market for drawing of pipe - steel),Metals
Maintenance - polymer electrolyte membrane fuel cell - 2kw electrical (market for maintenance - polymer electrolyte membrane fuel cell - 2kW electrical),Equipment Repair
Physician services,Health and Social Care
Wood products,Timber and Forestry Products
Battery cell - li-ion - nca (market for battery cell - Li-ion - NCA),Electronics
Terrain chipper on forwarder (market for terrain chipper on forwarder),Machinery
Natural gas - high pressure (market for natural gas - high pressure),Fuel
Fresh celery,Arable Farming
Fibreboard - soft (market for fibreboard - soft),Timber and Forestry Products
Knitting and sewing supplies,Textiles
Maize silage - swiss integrated production (market for maize silage - Swiss integrated production),Arable Farming
Asphalt shingles,Pavement and Surfacing
Dry pasta/dough and flour mixes manufacturing from purchased flour,Food/Beverages/Tobacco
Rough untreated poles / posts and piling,Timber and Forestry Products
Residues MSWI-WWT WW from CRT production (market for residues MSWI-WWT WW from CRT production),Waste Management
Packaged frozen food merchant wholesalers,Wholesale Trade
Bio-FTJ (heating),Fuel
Purse seiner - steel (market for purse seiner - steel),Machinery
Chipper - mobile - diesel (market for chipper - mobile - diesel),Machinery
Frozen spinach,Arable Farming
Cucumber (market for cucumber),Arable Farming
Residues MSWI[F]-WWT-SLF waste polyethylene terephthalate (market for residues MSWI[F]-WWT-SLF waste polyethylene terephthalate),Waste Management
Large format boards - GFP,Building Materials
Iron ore - crude ore - 46% fe (market for iron ore - crude ore - 46% Fe),Mined Materials
Ascorbic acid (market for ascorbic acid),Chemical Products
Rental of machinery and equipment (without operator) and of personal and household goods (services),Equipment Rental
Timber - Glulam - Including Carbon Storage,Timber and Forestry Products
Offices of dentists,Health Care
PET,Plastics and Rubber Products
Insurance carriers/except direct life,Insurance Services
Urea (market for urea),Chemical Products
Sewage sludge 75% water WWT WW from hard fibreboard production (market for sewage sludge 75% water WWT WW from hard fibreboard production),Waste Management
Detergent,Furnishings and Household
Goods wagon (market for goods wagon),Vehicles
Residues MSWI[F]-WWT-SLF wood ash mixture pure (market for residues MSWI[F]-WWT-SLF wood ash mixture pure),Waste Management
De-icer (market for de-icer),Chemical Products
Nmc111 hydroxide (market for NMC111 hydroxide),Chemical Products
Beer and ale merchant wholesalers,Wholesale Trade
1-methylcyclopropene (market for 1-methylcyclopropene),Chemical Products
Diesel oil - Euro iii - heavy duty vehicles - transport,Fuel
Meat animals (not elsewhere specified),Livestock Farming
Polymer modified bitumen (PMB),Building Materials
Central banking services,Financial Services
Computer storage device manufacturing,Electronics
Downlight cabinet 18W (CFL G24D),Electrical Equipment
Canned peas shelled (from dried peas),Food/Beverages/Tobacco
Hydrocarbons aromatic cyclic (C9plus) (market for hydrocarbons aromatic cyclic (C9plus)),Fuel
Other household supplies,Furnishings and Household
White clinker,Building Materials
Industrial furnace - coal - 1-10mw (market for industrial furnace - coal - 1-10MW),Machinery
Paddy Rice,Arable Farming
Oranges imported,Food/Beverages/Tobacco
Residues MSWI-WWT WW from hard fibreboard production (market for residues MSWI-WWT WW from hard fibreboard production),Waste Management
Mine infrastructure - potash salt (market for mine infrastructure - potash salt),Construction
Polyether polyols long chain (market for polyether polyols long chain),Chemical Products
Sawnwood - board - hardwood - raw - dried (u=10%) (market for sawnwood - board - hardwood - raw - dried (u=10%)),Timber and Forestry Products
Sugar - from sugarcane (market for sugar - from sugarcane),Arable Farming
Gas motor - mini chp plant (market for gas motor - mini CHP plant),Machinery
Tuition and similar fees for trade / technical and professional training,Education
Oil condensing boiler 20-120kW (upright unit),Electrical Equipment
Sodium percarbonate - powder (market for sodium percarbonate - powder),Chemical Products
Carpets and rugs,Furnishings and Household
Residues MSWI waste wood untreated (market for residues MSWI waste wood untreated),Waste Management
Tempering - flat glass (market for tempering - flat glass),Glass and Glass Products
Electronics - for control units (market for electronics - for control units),Electronics
Other services to buildings and dwellings,Professional Services and Activities
0.8kg feather pillow,Furnishings and Household
Liquid storage tank - chemicals - organics (market for liquid storage tank - chemicals - organics),Storage
Trisodium phosphate (market for trisodium phosphate),Chemical Products
Aircraft - dedicated freight - long haul (market for aircraft - dedicated freight - long haul),Vehicles
Potassium chloride - industrial grade (market for potassium chloride - industrial grade),Chemical Products
Sewage sludge 75% water WWT WW from ammonium paratungstate production (market for sewage sludge 75% water WWT WW from ammonium paratungstate production),Waste Management
Structural steel sections and merchant bars,Fabricated Metal Products
Wheat bran (market for wheat bran),Arable Farming
Computing equipment,Electrical Equipment
Maintenance - intermodal shipping container - 20-foot (market for maintenance - intermodal shipping container - 20-foot),Vehicles
Hazardous waste incineration facility (market for hazardous waste incineration facility),Construction
Cadmium sulfide - semiconductor-grade (market for cadmium sulfide - semiconductor-grade),Chemical Products
Timber and raw forest products,Timber and Forestry Products
Painting and wall covering contractors,Construction
Iron steel alloy 2 - tubes pipes hollow profiles cold-rolled flat,Metals
Bottom ash MSWI lignite ash (market for bottom ash MSWI lignite ash),Waste Management
Gas,Fuel
Heat and power co-generation unit - 500kw electrical - components for electricity only (market for heat and power co-generation unit - 500kW electrical - components for electricity only),Construction
Petrol - low-sulfur (market for petrol - low-sulfur),Fuel
Concrete - 30% pfa cement replacement - with total cementitious content of 400 kg per m3 of concrete,Building Materials
Commercial machinery repair,Equipment Repair
Concrete - 40% pfa cement replacement - with total cementitious content of 420 kg per m3 of concrete,Building Materials
Chloroacetyl chloride (market for chloroacetyl chloride),Chemical Products
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 480 kg per m3 of concrete,Building Materials
Zucchini (market for zucchini),Arable Farming
Barley grain - feed (market for barley grain - feed),Arable Farming
Aggregates and sand general UK - mixture of land won - marine - secondary and recycled - bulk - loose,Building Materials
Concrete GEN1 with 14% limestone cement,Building Materials
Cement - pozzolana and fly ash 5-15% (market for cement - pozzolana and fly ash 5-15%),Building Materials
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 420 kg per m3 of concrete,Building Materials
Animal (except poultry) slaughtering,Food/Beverages/Tobacco
Ethanol - without water - in 99.7% solution state - from ethylene (market for ethanol - without water - in 99.7% solution state - from ethylene),Chemical Products
Payments connected with renting,Consumer Goods Rental
Bitumen adhesive compound - cold (market for bitumen adhesive compound - cold),Building Materials
Oat grain - feed (market for oat grain - feed),Arable Farming
Blast furnace gas,Fuel
Concrete RC32/40 with 35% natural pozzolanic ash cement,Building Materials
Rabbit,Livestock Farming
Sands/pebbles/gravel/clays/stone and bitumen,Building Materials
Nitrates of potassium,Chemical Products
Glycerine (market for glycerine),Chemical Products
Leased residential property services,Real Estate
Sewage sludge 70% water WWT WW from soft fibreboard production (market for sewage sludge 70% water WWT WW from soft fibreboard production),Waste Management
Aluminium - Other Asia,Metals
Cement - blast furnace slag 5-25% (market for cement - blast furnace slag 5-25%),Building Materials
Screed mortar - calcium sulphate screed,Building Materials
Residues MSWI waste cement-fibre slab dismantled (market for residues MSWI waste cement-fibre slab dismantled),Waste Management
Synthetic dyes and pigments,Chemical Products
Air ventilation duct (zinc coated steel plate),Fabricated Metal Products
Octabenzone (market for octabenzone),Chemical Products
General concrete admixtures – Average of data collected,Building Materials
Teleproduction and other postproduction services,Recreation and Culture
Margarine and cooking oils,Food/Beverages/Tobacco
Concrete GEN 3 with average UK additions cement,Building Materials
Process-specific burdens - inert material landfill (market for process-specific burdens - inert material landfill),Waste Management
Titania slag - 94% titanium dioxide (market for titania slag - 94% titanium dioxide),Mined Materials
Glass - Toughened - per kg,Glass and Glass Products
Remediation services and other waste management services,Waste Management
Salmon PE tray with PE film,Food/Beverages/Tobacco
Storage - 650 l mini chp plant (market for storage - 650 l mini CHP plant),Storage
Refrigerant r134a (market for refrigerant R134a),Chemical Products
Fabric weaving and finishing services,Textiles
Pyrolysis fuel gas (market for pyrolysis fuel gas),Fuel
Furnace - logs - softwood storage area - 30kw (market for furnace - logs - softwood storage area - 30kW),Storage
Flavored drink concentrates,Food/Beverages/Tobacco
Coal and other mineral and ore merchant wholesalers,Wholesale Trade
Biomethane - low pressure - vehicle grade (market for biomethane - low pressure - vehicle grade),Fuel
Synthetic natural gas,Fuel
Baked beans aluminium tin,Food/Beverages/Tobacco
Residues MSWI waste paperboard (market for residues MSWI waste paperboard),Waste Management
Local government administration services,Government Activities
Kiwi fruit,Arable Farming
Steel - chromium steel 18/8 (market for steel - chromium steel 18/8),Metals
Aggregates (open-loop recycled source),Building Materials
Sewage sludge 70% water WWT condensate from light oil boiler (market for sewage sludge 70% water WWT condensate from light oil boiler),Waste Management
Adhesives,Chemical Products
Other communications equipment manufacturing,Electronics
Bottom ash MSWI[F]-WWT-SLF waste asphalt (market for bottom ash MSWI[F]-WWT-SLF waste asphalt),Waste Management
Dyes and pigments,Chemical Products
Aubergine (market for aubergine),Arable Farming
Cash receipts from insurance claims,Insurance Services
Iron non-alloy steel - plated coated wires,Metals
Canned baked beans/spaghetti and other canned meals,Food/Beverages/Tobacco
Ready-mix concrete C20/25,Building Materials
Road vehicle factory (market for road vehicle factory),Construction
Bottom ash MSWI[F] municipal solid waste (market for bottom ash MSWI[F] municipal solid waste),Waste Management
Ice cream and edible ices,Food/Beverages/Tobacco
Data processing / hosting and related services (except software as a service / on cloud),Information and Communication Services
Apiculture,Livestock Farming
Tertiary and other post school education,Education
Shellfish farming,Fishing/Aquaculture/Hunting
Deer,Livestock Farming
Concrete GEN 2 with CEM I cement,Building Materials
Cobalt acetate (market for cobalt acetate),Mined Materials
Sodium amide (market for sodium amide),Chemical Products
Aggregates and sand - expanded clay - bulk - loose,Building Materials
Mini chp plant - components for electricity only (market for mini CHP plant - components for electricity only),Electrical Equipment
Biodiesel,Fuel
Bottom ash MSWI-WWT-SLF refinery sludge (market for bottom ash MSWI-WWT-SLF refinery sludge),Waste Management
Advertising air time on television,Information and Communication Services
Printed circuit and electronic assembly,Electronics
Surgical appliance and supplies manufacturing,Health Care
Other educational training and services,Education
Apples,Arable Farming
Gas coke,Fuel
Other dairy products,Food/Beverages/Tobacco
Metals (closed-loop recycled source),Metals
Foam glass - electricity from renewable energy products (market for foam glass - electricity from renewable energy products),Building Materials
Heaters/air conditioners,Electrical Equipment
Concrete GEN 2 with average UK additions cement,Building Materials
Floriculture production,Arable Farming
Other fresh or chilled vegetables,Food/Beverages/Tobacco
Nuclear waste storage - final repository for low level radioactive waste (market for nuclear waste storage - final repository for low level radioactive waste),Construction
Graphic design services,Professional Services and Activities
Iron steel - coach wood screws hooks rings,Metals
Cement (CEM III 52.5),Building Materials
Nylon 6-6 (market for nylon 6-6),Chemical Products
Wastewater from potato starch production (market for wastewater from potato starch production),Water Treatment
Bottom ash MSWI-WWT WW from liquid crystal production (market for bottom ash MSWI-WWT WW from liquid crystal production),Waste Management
Sanitary ceramics,Furnishings and Household
Stirling heat and power co-generation unit - 3kw electrical - wood pellet - future (market for stirling heat and power co-generation unit - 3kW electrical - wood pellet - future),Electrical Equipment
Iron - tubes pipes hollow profiles cast,Metals
LPG (liquefied petroleum gas),Fuel
Spirits and liqueurs consumed off licensed premises,Food/Beverages/Tobacco
Steel - Tin-free Electrolytic Chrome Coated Steel Sheet - Tin-free (ECCS),Metals
Sewage sludge 70% water WWT-SLF waste emulsion paint (market for sewage sludge 70% water WWT-SLF waste emulsion paint),Waste Management
Chlorodifluoromethane (market for chlorodifluoromethane),Chemical Products
Sanforizing - textile (market for sanforizing - textile),Textiles
Iron non-alloy steel - bars / rods / long,Metals
Beef (dairy herd intensive system),Livestock Farming
